num_nodes,num_edges,mean_distance,diameter,density,beetweenness_centrality_mean,mean_degree,var_degree,skew_degree,kurt_degree,mean_strength,var_strength,skew_strength,kurt_strength,assortativity,center_of_mass,center_of_strength,model_name,label,grid_size,graph_label,sample
447,1049,5.83387004544497,16,0.0052617850944513,0.002988330527190727,4.693512304250559,11.02020445220253,1.8013091475276624,4.148885751255245,7.194630872483222,49.789388148192735,2.3961368295002368,7.397305010734511,0.12852358573681574,-0.003355704697986577,nan,distilbert/distilbert-base-multilingual-cased,bottom,10,bottom,0
401,1101,5.983491271820449,22,0.006864089775561097,0.004030509565684786,5.491271820448878,16.72554862842893,1.3002029053370052,2.0304799155828843,8.019950124688279,58.97960099750624,2.478547191088759,11.017970820011291,0.07008662117475338,-0.5024937655860349,nan,distilbert/distilbert-base-multilingual-cased,top,10,top,0
842,1387,7.415253303809231,23,0.001958702031570831,0.0009977817247256693,3.294536817102138,5.154524220402698,2.536845868626347,10.508913212914454,3.8194774346793348,9.967372853830271,2.7807406088132014,12.049196359637355,0.05166044922598991,-0.502375296912114,nan,distilbert/distilbert-base-multilingual-cased,bottom,20,bottom,0
811,1456,6.669954788327168,24,0.002216437563745414,0.0014883782124193504,3.590628853267571,6.896405900351646,2.208910093819327,7.9426351291306805,3.965474722564735,11.050658385471372,2.952657831817264,15.579056572406605,0.01095362374643995,-0.6528976572133169,nan,distilbert/distilbert-base-multilingual-cased,top,20,top,0
1153,1506,10.424683193601233,32,0.0011338175773344897,0.0002762491766736351,2.6123156981786644,2.2983551363592563,2.630767894584381,11.357889256323059,2.7892454466608845,3.520648128071697,3.059449651338052,15.761388505530434,0.08571481500252294,-0.36383347788378145,nan,distilbert/distilbert-base-multilingual-cased,bottom,30,bottom,0
1164,1567,8.879826429039028,26,0.0011575407835524314,0.00044646641225224045,2.6924398625429555,2.644792322261718,2.007726203890061,5.068635024239859,2.7628865979381443,3.020255116965544,2.071588571883461,5.821961325566949,0.05511804463522267,-0.4493127147766323,nan,distilbert/distilbert-base-multilingual-cased,top,30,top,0
1323,1551,13.220893777628355,42,0.0008867894106709754,0.00015829733150655157,2.3446712018140587,1.6753630347751811,2.6039459972821217,10.303543001679058,2.430839002267574,2.246915104922453,3.058782148053158,15.207105177569973,0.12110932056565542,-0.1583522297808012,nan,distilbert/distilbert-base-multilingual-cased,bottom,40,bottom,0
1363,1582,11.583172313034982,28,0.0008521842743451594,0.0001907892017999562,2.321349963316214,1.555982904601687,2.220637033440267,7.24179493153036,2.359501100513573,1.7282264763203739,2.1981638430102595,6.744007539608373,0.1001492323162533,-0.16837857666911224,nan,distilbert/distilbert-base-multilingual-cased,top,40,top,0
1462,1574,18.827856427856428,70,0.0007368975955789889,5.685556608315269e-05,2.153214774281806,0.8457767902538506,2.4838196084637376,10.590378097247475,2.1997264021887823,1.0661737786179846,2.716375225679048,11.787018050835265,0.09919478911754168,-0.512311901504788,nan,distilbert/distilbert-base-multilingual-cased,bottom,50,bottom,0
1493,1588,17.153927880410443,50,0.0007128889240046041,5.954290002070632e-05,2.1272605492297387,0.8001477852857571,2.4090538159094645,8.545157137019592,2.1540522438044207,0.8918015978049485,2.380866111679001,7.833580988971265,0.03799222722657834,-0.5368385800401876,nan,distilbert/distilbert-base-multilingual-cased,top,50,top,0
427,1010,5.745137491616365,15,0.00555244032501017,0.003109935731392534,4.730679156908665,12.15969038273356,2.0697236395195024,6.354133096457083,7.531615925058548,59.77071170190543,2.421608444598233,7.759063222013481,0.15271918661385026,0.09953161592505855,nan,distilbert/distilbert-base-multilingual-cased,bottom,10,bottom,1
371,1006,6.25797333721862,24,0.0073286224229620455,0.00426135819601075,5.423180592991914,18.07178553216289,1.9318092489408218,6.057490166673329,8.668463611859838,83.0924892547534,2.345514486710086,6.753261166897236,0.06539117365507108,-0.3948787061994609,nan,distilbert/distilbert-base-multilingual-cased,top,10,top,1
863,1362,8.13431804555952,23,0.001830876481706022,0.0009571070499762447,3.1564310544611818,4.417496296575105,2.1431580850630447,7.834047194352777,3.726535341830823,9.57014192653373,2.333813319899406,7.253778599157812,0.2076151638553549,-0.09096176129779837,nan,distilbert/distilbert-base-multilingual-cased,bottom,20,bottom,1
826,1450,7.149246459754934,25,0.002127815687137721,0.0014842013068934244,3.5108958837772395,5.639275075207278,1.3465800964662125,1.762315180811071,3.8934624697336564,9.18863599677159,1.93147610720707,5.197864229522497,0.1994739745151857,-0.3026634382566586,nan,distilbert/distilbert-base-multilingual-cased,top,20,top,1
1185,1504,10.940429353404037,28,0.0010719580339833504,0.0003089794776747065,2.5383966244725737,2.3095464135021095,2.5025704289870774,9.981766634922481,2.713924050632911,3.6435981867943887,2.9801444047551575,13.818361374233513,0.15379457974225058,-0.22236286919831225,nan,distilbert/distilbert-base-multilingual-cased,bottom,30,bottom,1
1189,1564,8.97482334743429,26,0.0011072315529842864,0.0005168102046394566,2.6307821698906646,2.6421829735538735,2.263143189646181,7.40036362035357,2.704793944491169,3.004530870805051,2.1929010452553293,6.637834606586894,0.05927926395861765,-0.3435660218671152,nan,distilbert/distilbert-base-multilingual-cased,top,30,top,1
1342,1548,14.062015503875969,40,0.0008601806379339662,0.00012617077446960378,2.3070044709388973,1.3792051886451708,2.244414535949332,7.934326238582517,2.3964232488822654,1.9590625142391012,2.884330228273324,13.872377575128315,0.08855215490862002,-0.3353204172876304,nan,distilbert/distilbert-base-multilingual-cased,bottom,40,bottom,1
1412,1588,12.424954692979956,40,0.000797055912368019,0.00013441570442067796,2.2492917847025495,1.2446841189119084,2.0396025448138384,5.825473992757079,2.2776203966005664,1.3884995071102608,2.1298916641074577,6.233634512501723,0.0006164566646267968,-0.34985835694050993,nan,distilbert/distilbert-base-multilingual-cased,top,40,top,1
1416,1569,16.449615303664554,58,0.0007830748038569803,8.212846113708129e-05,2.2161016949152543,1.0840091034317543,2.1967689209876786,6.951281520815559,2.2711864406779663,1.3963706054979936,2.5203369792062245,9.03506673961161,0.09200123260935686,-0.4209039548022599,nan,distilbert/distilbert-base-multilingual-cased,bottom,50,bottom,1
1470,1587,15.021527289397325,38,0.000734916158430697,6.954510816073286e-05,2.159183673469388,0.8800211166835692,2.1457971483801574,7.357238275075433,2.1877551020408164,0.9939956377377364,2.2339955506765037,7.7266236294235675,0.07336234783515348,-0.42517006802721086,nan,distilbert/distilbert-base-multilingual-cased,top,50,top,1
452,1038,5.851657084551538,12,0.0050919294390047685,0.0031129010807404937,4.592920353982301,10.4192845790083,1.4958691667470607,2.3817464666074195,7.115044247787611,55.086513745266174,2.671982363476625,9.668720055641211,0.2105400773926989,0.1902654867256637,nan,distilbert/distilbert-base-multilingual-cased,bottom,10,bottom,2
399,1083,6.223322124406494,22,0.0068198133524766695,0.004110944424336921,5.428571428571429,16.466618808327354,1.6051276329684032,4.327158716739133,8.06015037593985,61.116975856727244,2.1302208798103366,6.084225391809543,0.1338915976924493,-0.4849624060150376,nan,distilbert/distilbert-base-multilingual-cased,top,10,top,2
910,1415,8.055914602449256,22,0.0017106106215017106,0.0007711021864639869,3.10989010989011,4.150727160628151,2.220987200920405,7.804430253917438,3.534065934065934,7.556043956043956,2.5634927937338166,10.820278086404748,0.10931510026259336,-0.2978021978021978,nan,distilbert/distilbert-base-multilingual-cased,bottom,20,bottom,2
898,1500,7.197962522935894,24,0.0018621835219104514,0.0012574255676378752,3.34075723830735,4.775616817255241,1.4538183888719745,2.4141855407616455,3.5812917594654787,6.123261651682297,1.4442126519345262,2.227900375490679,0.11806629855042831,-0.5590200445434298,nan,distilbert/distilbert-base-multilingual-cased,top,20,top,2
1121,1500,9.73291066649675,28,0.0011947240983815471,0.00039791323517135636,2.6761819803746656,2.903083981139289,2.9633718789618517,14.559831417469935,2.8688670829616414,4.467610233210144,3.229782822406218,16.641283694411086,0.07358836927766836,-0.2644959857270294,nan,distilbert/distilbert-base-multilingual-cased,bottom,30,bottom,2
1133,1541,8.660598074195908,24,0.0012015069907278903,0.0005626771059665782,2.7202118270079434,3.033840237775193,2.5228133484564492,10.15506191587649,2.8384819064430715,3.851097339999189,2.609632713801708,10.252981430331745,0.09156763950599031,-0.2872903795233892,nan,distilbert/distilbert-base-multilingual-cased,top,30,top,2
1350,1547,14.243415129884804,52,0.0008494632512423469,0.00011513374297764536,2.291851851851852,1.3691700299261458,2.30919776868067,7.847391867752684,2.382222222222222,1.8137682233753398,2.452324848235557,9.042123801267204,0.08132842177697636,-0.34296296296296297,nan,distilbert/distilbert-base-multilingual-cased,bottom,40,bottom,2
1363,1589,11.890715159793961,46,0.0008559550012227928,0.00019308638861614022,2.331621423330888,1.3113855482044334,1.6918353799138444,3.2856722126113818,2.359501100513573,1.452161865454001,1.7990371304731383,3.8115116666594906,0.08955775159574246,-0.363536316947909,nan,distilbert/distilbert-base-multilingual-cased,top,40,top,2
1432,1562,16.57332256295484,56,0.0007622516582145548,7.215124217337773e-05,2.1815642458100557,1.0208199134097733,2.5292391500568825,9.90590682751332,2.2458100558659218,1.4112333056150912,3.1329199873022917,15.957912541904552,0.10504591208846108,-0.3756983240223464,nan,distilbert/distilbert-base-multilingual-cased,bottom,50,bottom,2
1489,1591,17.742832115351494,54,0.0007180795366739603,5.892956987134793e-05,2.1370047011417057,0.8642816135531534,2.182243741311701,7.19841051767066,2.159838817998657,0.9730902965835482,2.355258649628619,8.497407520231683,0.046007932126837604,-0.4006044325050369,nan,distilbert/distilbert-base-multilingual-cased,top,50,top,2
396,939,5.839675233346119,13,0.006003068661296509,0.0032232139553992666,4.742424242424242,9.614499424626006,1.5625643842646766,3.1502537032401254,8.121212121212121,89.70678941311853,3.5172773582877004,17.11166516525628,0.2701914337697786,0.3712121212121212,nan,distilbert/distilbert-base-multilingual-cased,bottom,10,bottom,3
365,961,6.414601836519645,24,0.007233177781122987,0.004273186340434161,5.265753424657534,14.360499774198402,1.0743418596205179,0.7778810307202861,8.810958904109588,106.99987957248231,3.3094212972401746,14.985948440993466,0.2743522517505116,-0.33013698630136984,nan,distilbert/distilbert-base-multilingual-cased,top,10,top,3
883,1401,7.77940077503255,24,0.001798907558493386,0.0009285525734913583,3.173272933182333,4.708037688461569,1.9889347488661506,5.257440221900524,3.642129105322763,9.046386391476181,2.416085911193212,7.6423607467097785,0.12758089859803437,-0.23952434881087203,nan,distilbert/distilbert-base-multilingual-cased,bottom,20,bottom,3
846,1469,6.778823405709479,20,0.002054919076195672,0.001408001335476301,3.4728132387706854,6.001035153244645,1.5337865463102682,2.3863217873157687,3.801418439716312,8.367619287422889,1.6537762250154255,3.134409586533237,0.10663345623562981,-0.4491725768321513,nan,distilbert/distilbert-base-multilingual-cased,top,20,top,3
1129,1498,10.681329861613385,36,0.0011762747426015616,0.00033705184881689833,2.653675819309123,2.364882309707329,2.23820705021052,7.539135958661274,2.8485385296722763,3.630407879941453,2.30582427440556,6.939082979656669,0.12670368114445255,-0.36093888396811336,nan,distilbert/distilbert-base-multilingual-cased,bottom,30,bottom,3
1143,1547,8.50306100592276,28,0.001185162712804507,0.0005848407528453612,2.7069116360454943,2.7310117321149217,1.9405084778072297,4.799823117752348,2.8136482939632548,3.330391494408208,1.9944232461487146,5.195328032465273,0.10102289515897277,-0.4142607174103237,nan,distilbert/distilbert-base-multilingual-cased,top,30,top,3
1337,1545,14.658745336552027,44,0.0008649492339181025,0.00014292257886720823,2.31114435302917,1.7579071475597794,3.0301896718757684,15.753934648572688,2.405385190725505,2.429851217535012,3.293458371280336,16.685624608605004,0.06948679448467604,-0.1843679880329095,nan,distilbert/distilbert-base-multilingual-cased,bottom,40,bottom,3
1368,1568,11.636763013841916,34,0.0008384775643082346,0.0001883091250088761,2.2923976608187133,1.6496276047348313,2.720417411438815,11.481466743364534,2.3508771929824563,1.9192238093404688,2.664776181759944,10.537610565354425,0.05703123100255346,-0.23464912280701755,nan,distilbert/distilbert-base-multilingual-cased,top,40,top,3
1454,1578,17.71842008467745,56,0.0007469249695407973,6.735721582677698e-05,2.170563961485557,1.1023400809026713,2.9030328210698686,15.511833252637956,2.2118294360385145,1.3329363618032604,3.049484827539121,15.614228443431927,0.03783498036700323,-0.3246217331499312,nan,distilbert/distilbert-base-multilingual-cased,bottom,50,bottom,3
