num_nodes,num_edges,mean_distance,diameter,density,beetweenness_centrality_mean,mean_degree,var_degree,skew_degree,kurt_degree,mean_strength,var_strength,skew_strength,kurt_strength,assortativity,center_of_mass,center_of_strength,model_name,label,grid_size,graph_label,sample
469,1053,5.857616678512201,14,0.004797441364605544,0.0027935246702225506,4.490405117270789,9.900014579119055,1.9981029342211312,6.628430555227808,6.601279317697228,38.44538297523372,2.5148140050869694,9.246174592994366,0.07465794534540084,-0.21428571428571427,nan,distilbert/distilbert-base-multilingual-cased,bottom,10,bottom,0
413,1056,5.947060344624933,17,0.0062060697242530384,0.003810300540583082,5.113801452784504,16.169056630386237,1.7753520001763154,4.484484708329637,7.49636803874092,49.26515667975269,2.0914150838718197,6.56775435298214,-0.0877956843235409,-0.49031476997578693,nan,distilbert/distilbert-base-multilingual-cased,top,10,top,0
933,1400,8.966295442731694,32,0.0016100170661809015,0.0007138919926042087,3.0010718113612005,3.44313189719811,1.635322966529142,3.1060673354393704,3.3183279742765275,5.910361149828188,2.1478971764673753,6.451204781413438,0.13310231895562025,-0.2652733118971061,nan,distilbert/distilbert-base-multilingual-cased,bottom,20,bottom,0
909,1420,7.294369514022693,26,0.0017204363608166985,0.0012411856857236898,3.1243124312431245,4.7477452591074085,1.7172959728038089,3.740709715024397,3.405940594059406,6.554193745365726,1.6278291615012388,2.9003202003270374,0.014846830725146212,-0.33608360836083606,nan,distilbert/distilbert-base-multilingual-cased,top,20,top,0
1238,1495,13.775427770220315,48,0.0009762270749886053,0.0001796786764817729,2.4151857835218093,1.8177805232577122,2.692189535908106,12.34073343884241,2.5008077544426492,2.3326590074741773,2.821248613998847,12.689378488891117,0.0037052585836523364,-0.5193861066235864,nan,distilbert/distilbert-base-multilingual-cased,bottom,30,bottom,0
1234,1519,10.63478202494596,34,0.0009983424492054666,0.0002988399500247505,2.461912479740681,1.750778496794657,1.8350312732309535,4.245286022776257,2.5089141004862237,1.933821528706124,1.7940270944725405,3.889356399780333,-0.06302581943340774,-0.5072933549432739,nan,distilbert/distilbert-base-multilingual-cased,top,30,top,0
1392,1515,17.32051357275201,62,0.0007824313939363891,9.005549966432564e-05,2.1767241379310347,1.048544832544188,2.590280395891649,9.883745031149182,2.2241379310344827,1.2983960931108853,2.797020940346666,11.570076463119483,0.032984813155678125,-0.4224137931034483,nan,distilbert/distilbert-base-multilingual-cased,bottom,40,bottom,0
1378,1527,12.713616558993147,32,0.0008047405383698391,0.00013514833019861883,2.216255442670537,1.135479940511387,2.478635850369463,10.085951243490618,2.246734397677794,1.240457737683043,2.3830318861865813,8.782818823494452,-0.010448976986337814,-0.47750362844702465,nan,distilbert/distilbert-base-multilingual-cased,top,40,top,0
1458,1527,26.35935385338041,96,0.0007188229944273565,4.850226560869943e-05,2.094650205761317,0.7926824101612479,2.5249910532125446,10.581240741268081,2.123456790123457,0.9483718447342332,2.8497660937729115,12.780284122541733,0.07979917583747595,-0.5027434842249657,nan,distilbert/distilbert-base-multilingual-cased,bottom,50,bottom,0
1472,1537,18.31713636110199,54,0.0007098284219548961,5.499796569826464e-05,2.088315217391304,0.797089749652706,2.236779549200232,7.7362590837273775,2.1032608695652173,0.8567670617444507,2.240357501483024,7.313064115054534,-0.023705525672318095,-0.485054347826087,nan,distilbert/distilbert-base-multilingual-cased,top,50,top,0
