num_nodes,num_edges,mean_distance,diameter,density,beetweenness_centrality_mean,mean_degree,var_degree,skew_degree,kurt_degree,mean_strength,var_strength,skew_strength,kurt_strength,assortativity,center_of_mass,center_of_strength,model_name,label,grid_size,graph_label,sample
116,116,7.255011655011655,18,0.008695652173913044,0.0011224650832478498,2.0,1.2347826086956522,2.32151793009073,8.012211602170076,2.0689655172413794,1.5778110944527735,2.5734310054506913,8.511539924077091,0.13679672962107306,-0.8103448275862069,nan,distilbert/distilbert-base-multilingual-cased,true,10,true,0
117,119,6.366581415174766,18,0.008768051871500147,0.0012737221133023234,2.034188034188034,1.6367521367521365,2.9006099955073426,10.6587535599451,2.051282051282051,1.7214854111405833,2.8162430410779966,9.75048233139718,-0.04476821263034111,-0.7393162393162394,nan,distilbert/distilbert-base-multilingual-cased,fake,10,fake,0
133,120,4.826666666666667,12,0.00683526999316473,0.0004400313761502994,1.8045112781954886,0.47664616085668715,1.259622467590975,3.1951448637378603,1.8045112781954886,0.47664616085668715,1.259622467590975,3.1951448637378603,0.11051212938005368,-0.575187969924812,nan,distilbert/distilbert-base-multilingual-cased,true,20,true,0
130,120,5.8558558558558556,12,0.007155635062611807,0.0005287529815146095,1.8461538461538463,0.5497912939773406,1.2979621986454448,2.657307607966078,1.8461538461538463,0.5497912939773406,1.2979621986454448,2.657307607966078,0.18786728732554414,-0.6230769230769231,nan,distilbert/distilbert-base-multilingual-cased,fake,20,fake,0
140,120,2.6666666666666665,6,0.006166495375128468,0.0002606610363882806,1.7142857142857142,0.2055498458376156,-0.9589889130483809,-1.096207553157728,1.7142857142857142,0.2055498458376156,-0.9589889130483809,-1.096207553157728,nan,-0.5,nan,distilbert/distilbert-base-multilingual-cased,true,30,true,0
140,120,2.6666666666666665,6,0.006166495375128468,0.0002606610363882806,1.7142857142857142,0.2055498458376156,-0.9589889130483809,-1.096207553157728,1.7142857142857142,0.2055498458376156,-0.9589889130483809,-1.096207553157728,nan,-0.5,nan,distilbert/distilbert-base-multilingual-cased,fake,30,fake,0
138,120,3.4358974358974357,8,0.006347191367819739,0.0003025805688825832,1.7391304347826086,0.28181529673119643,0.4290043579461687,3.1398940176265313,1.7391304347826086,0.28181529673119643,0.4290043579461687,3.1398940176265313,-0.034482758620688204,-0.5217391304347826,nan,distilbert/distilbert-base-multilingual-cased,true,40,true,0
140,120,2.6666666666666665,6,0.006166495375128468,0.0002606610363882806,1.7142857142857142,0.2055498458376156,-0.9589889130483809,-1.096207553157728,1.7142857142857142,0.2055498458376156,-0.9589889130483809,-1.096207553157728,nan,-0.5,nan,distilbert/distilbert-base-multilingual-cased,fake,40,fake,0
138,120,3.8974358974358974,10,0.006347191367819739,0.00029557999016807614,1.7391304347826086,0.28181529673119643,0.4290043579461687,3.1398940176265313,1.7391304347826086,0.28181529673119643,0.4290043579461687,3.1398940176265313,-0.034482758620688204,-0.5289855072463768,nan,distilbert/distilbert-base-multilingual-cased,true,50,true,0
138,120,3.8974358974358974,10,0.006347191367819739,0.00029557999016807614,1.7391304347826086,0.2818152967311965,0.42900435794616865,3.1398940176265286,1.7391304347826086,0.2818152967311965,0.42900435794616865,3.1398940176265286,-0.034482758620688204,-0.5289855072463768,nan,distilbert/distilbert-base-multilingual-cased,fake,50,fake,0
